date,station,PM2.5,PM10,wind_speed,wind_dir,humidity,temperature,rainfall,NO2,NH3,CO,SO2,NO,NOx
2019-01-01,"MIDC Khutala, Chandrapur - MPCB",46.78,116.51,0.47,171.56,60.91,19.33,0.0,36.88,7.67,0.14,8.1,2.39,20.79
2019-01-02,"MIDC Khutala, Chandrapur - MPCB",41.6,100.59,0.59,142.27,61.58,20.32,0.0,45.4,9.16,0.13,11.99,1.93,25.09
2019-01-03,"MIDC Khutala, Chandrapur - MPCB",45.98,115.85,0.61,137.59,65.21,20.86,0.0,41.79,8.94,0.13,6.11,2.03,23.28
2019-01-04,"MIDC Khutala, Chandrapur - MPCB",49.03,102.07,0.76,143.98,61.8,21.95,0.0,48.3,9.53,0.13,7.33,2.63,27.26
2019-01-05,"MIDC Khutala, Chandrapur - MPCB",46.59,99.33,0.8,127.78,65.44,21.82,0.0,54.48,10.78,0.11,7.03,4.56,31.92
2019-01-06,"MIDC Khutala, Chandrapur - MPCB",43.7,85.84,0.87,133.85,72.01,22.28,0.0,53.0,11.75,0.09,5.36,7.24,33.46
2019-01-07,"MIDC Khutala, Chandrapur - MPCB",51.55,117.27,1.23,184.6,75.44,22.02,0.0,52.04,11.87,0.09,5.56,8.38,33.86
2019-01-08,"MIDC Khutala, Chandrapur - MPCB",44.51,99.35,0.67,206.33,62.2,19.49,0.0,45.39,10.53,0.09,4.92,9.38,31.21
2019-01-09,"MIDC Khutala, Chandrapur - MPCB",43.9,86.07,0.59,153.34,61.86,19.79,0.0,40.55,10.81,0.09,5.96,12.61,31.28
2019-01-10,"MIDC Khutala, Chandrapur - MPCB",38.54,94.05,1.05,135.17,60.72,20.53,0.0,37.43,10.27,0.11,8.08,10.72,27.9
2019-01-11,"MIDC Khutala, Chandrapur - MPCB",38.97,89.66,1.0,130.21,68.11,21.34,0.0,30.19,8.32,0.11,6.18,8.74,22.55
2019-01-12,"MIDC Khutala, Chandrapur - MPCB",37.85,88.3,1.07,112.6,76.51,22.81,0.0,33.18,10.09,0.15,3.85,17.34,30.46
2019-01-13,"MIDC Khutala, Chandrapur - MPCB",34.57,85.4,0.97,129.75,76.28,23.64,0.0,36.71,11.51,0.32,4.77,16.36,31.78
2019-01-14,"MIDC Khutala, Chandrapur - MPCB",44.52,105.04,1.06,108.03,76.37,23.41,0.0,35.06,11.61,0.35,6.12,14.53,29.65
2019-01-15,"MIDC Khutala, Chandrapur - MPCB",39.4,103.89,0.75,165.33,58.97,21.63,0.0,33.87,12.47,0.34,8.23,14.55,29.07
2019-01-16,"MIDC Khutala, Chandrapur - MPCB",34.14,97.31,0.76,170.2,60.26,21.29,0.0,26.0,11.12,0.34,6.43,13.43,23.74
2019-01-17,"MIDC Khutala, Chandrapur - MPCB",33.04,97.03,0.69,151.98,60.07,21.62,0.0,19.7,9.12,0.36,6.7,12.56,19.88
2019-01-18,"MIDC Khutala, Chandrapur - MPCB",37.85,109.07,0.66,141.11,56.81,22.13,0.0,25.04,12.28,0.36,6.81,12.43,22.93
2019-01-19,"MIDC Khutala, Chandrapur - MPCB",32.28,93.54,0.79,136.62,53.24,22.04,0.0,23.02,12.03,0.35,7.39,10.11,20.14
2019-01-20,"MIDC Khutala, Chandrapur - MPCB",32.16,100.36,0.63,155.66,55.51,21.89,0.0,19.07,12.77,0.37,10.19,12.37,19.86
2019-01-21,"MIDC Khutala, Chandrapur - MPCB",24.33,70.2,1.08,145.93,53.79,22.35,0.0,12.77,9.77,0.33,6.19,8.48,13.32
2019-01-22,"MIDC Khutala, Chandrapur - MPCB",27.14,70.15,1.11,136.18,59.19,23.89,0.0,12.33,8.98,0.31,5.07,6.24,11.21
2019-01-23,"MIDC Khutala, Chandrapur - MPCB",30.86,73.03,0.97,122.48,68.13,24.07,0.0,9.99,9.62,0.32,4.55,7.52,11.13
2019-01-24,"MIDC Khutala, Chandrapur - MPCB",28.1,64.18,1.14,146.51,71.8,23.82,0.0,5.76,10.69,0.32,4.92,9.41,9.89
2019-01-25,"MIDC Khutala, Chandrapur - MPCB",24.35,162.87,1.51,99.76,74.71,22.45,0.0,4.35,9.97,0.31,5.6,10.02,9.05
2019-01-26,"MIDC Khutala, Chandrapur - MPCB",28.95,37.76,1.19,73.31,90.81,20.43,0.0,2.24,10.37,0.32,4.46,11.69,8.08
2019-01-27,"MIDC Khutala, Chandrapur - MPCB",32.86,53.18,1.07,79.94,84.29,20.78,0.0,1.94,12.66,0.31,3.9,4.69,3.72
2019-01-28,"MIDC Khutala, Chandrapur - MPCB",38.24,64.57,0.96,204.97,72.62,20.06,0.0,10.82,246.51,0.31,5.22,4.8,7.48
2019-01-29,"MIDC Khutala, Chandrapur - MPCB",28.58,55.64,0.93,161.41,57.17,18.63,0.0,1.58,100.31,0.3,4.15,2.75,1.76
2019-01-30,"MIDC Khutala, Chandrapur - MPCB",36.61,67.19,0.67,161.65,57.96,18.7,0.0,1.48,30.17,0.31,6.07,2.62,1.64
2019-01-31,"MIDC Khutala, Chandrapur - MPCB",39.55,64.64,0.89,141.89,62.76,20.24,0.0,1.0,8.93,0.33,4.65,2.56,1.57
2019-02-01,"MIDC Khutala, Chandrapur - MPCB",48.67,75.82,1.01,107.64,69.77,22.36,0.0,0.39,1.53,0.37,4.73,1.96,1.14
2019-02-02,"MIDC Khutala, Chandrapur - MPCB",47.29,74.43,0.9,113.3,66.95,23.34,0.0,0.2,1.22,0.34,4.68,1.63,0.75
2019-02-03,"MIDC Khutala, Chandrapur - MPCB",47.23,76.81,0.96,116.85,59.38,23.4,0.0,0.37,1.52,0.33,4.77,2.31,0.82
2019-02-04,"MIDC Khutala, Chandrapur - MPCB",50.33,83.4,0.9,119.47,57.67,23.21,0.0,0.43,1.16,0.33,5.44,1.62,0.71
2019-02-05,"MIDC Khutala, Chandrapur - MPCB",54.98,88.41,0.78,148.71,60.99,23.24,0.0,1.05,1.36,0.34,6.7,4.35,2.67
2019-02-06,"MIDC Khutala, Chandrapur - MPCB",48.67,68.44,1.92,137.7,62.07,24.07,0.0,2.72,1.08,0.33,4.18,3.47,5.69
2019-02-07,"MIDC Khutala, Chandrapur - MPCB",40.68,62.52,3.1,146.03,57.63,26.0,0.0,0.95,1.48,0.3,5.36,6.24,3.96
2019-02-08,"MIDC Khutala, Chandrapur - MPCB",36.74,77.46,1.6,212.78,47.43,24.41,0.0,1.89,1.01,0.3,7.55,2.41,1.43
2019-02-09,"MIDC Khutala, Chandrapur - MPCB",39.84,85.09,1.67,146.99,37.7,20.87,0.0,3.34,0.97,0.29,5.14,1.29,0.62
2019-02-10,"MIDC Khutala, Chandrapur - MPCB",36.03,71.62,1.23,111.81,42.52,20.91,0.0,3.87,0.82,0.31,6.11,0.4,0.21
2019-02-11,"MIDC Khutala, Chandrapur - MPCB",45.77,90.46,0.95,122.02,49.75,22.93,0.0,3.77,0.86,0.33,10.02,2.9,0.75
2019-02-12,"MIDC Khutala, Chandrapur - MPCB",52.2,84.74,0.85,124.9,57.82,24.64,0.0,3.4,0.97,0.33,3.17,0.87,0.42
2019-02-13,"MIDC Khutala, Chandrapur - MPCB",50.8,80.94,1.01,110.55,56.64,25.23,0.0,6.07,4.2,0.34,3.21,1.72,3.83
2019-02-14,"MIDC Khutala, Chandrapur - MPCB",42.76,70.05,1.2,133.96,58.07,25.23,0.0,9.36,8.73,0.32,2.28,0.91,8.02
2019-02-15,"MIDC Khutala, Chandrapur - MPCB",37.08,63.15,1.62,137.81,62.65,26.57,0.0,9.5,8.82,0.3,2.34,0.69,7.83
2019-02-16,"MIDC Khutala, Chandrapur - MPCB",35.52,57.11,1.02,113.41,74.8,25.51,0.0,9.5,8.74,0.31,4.29,0.7,8.05
2019-02-17,"MIDC Khutala, Chandrapur - MPCB",43.86,72.59,0.83,182.4,64.4,24.47,0.0,9.33,8.57,0.31,3.29,1.0,8.42
2019-02-18,"MIDC Khutala, Chandrapur - MPCB",53.1,87.23,0.85,151.77,53.38,24.33,0.0,9.45,8.57,0.34,7.87,1.1,8.34
2019-02-19,"MIDC Khutala, Chandrapur - MPCB",51.16,80.64,1.6,124.51,54.95,26.55,0.0,8.93,8.84,0.35,9.9,2.34,8.05
2019-02-20,"MIDC Khutala, Chandrapur - MPCB",39.95,59.98,2.25,117.02,65.33,27.93,0.0,9.6,8.74,0.3,4.27,1.16,8.61
2019-02-21,"MIDC Khutala, Chandrapur - MPCB",32.56,60.34,1.3,125.42,59.67,28.44,0.0,9.64,8.81,0.31,3.88,1.06,8.06
2019-02-22,"MIDC Khutala, Chandrapur - MPCB",38.7,68.74,0.85,175.17,56.48,29.12,0.0,8.76,4.48,0.32,3.92,1.07,9.17
2019-02-23,"MIDC Khutala, Chandrapur - MPCB",42.2,79.84,1.13,206.36,55.95,28.94,0.0,8.85,2.87,0.33,5.32,3.66,10.16
2019-02-24,"MIDC Khutala, Chandrapur - MPCB",41.56,67.49,2.02,203.75,50.06,29.43,0.0,7.94,1.12,0.32,2.3,0.78,9.6
2019-02-25,"MIDC Khutala, Chandrapur - MPCB",37.37,71.88,2.28,257.93,41.78,28.07,0.0,8.17,1.45,0.32,2.2,1.73,9.44
2019-02-26,"MIDC Khutala, Chandrapur - MPCB",42.82,86.69,1.85,216.61,41.92,26.74,0.0,7.77,1.36,0.33,3.4,1.77,9.08
2019-02-27,"MIDC Khutala, Chandrapur - MPCB",40.56,79.19,2.3,222.74,40.6,26.48,0.0,7.88,1.25,0.3,2.85,1.3,9.25
2019-02-28,"MIDC Khutala, Chandrapur - MPCB",37.07,69.65,1.87,158.1,47.77,25.33,0.0,8.19,1.49,0.3,1.99,1.15,9.71
2019-03-01,"MIDC Khutala, Chandrapur - MPCB",34.79,60.56,1.4,112.74,46.57,25.88,0.0,7.66,1.02,0.29,3.11,0.74,9.46
2019-03-02,"MIDC Khutala, Chandrapur - MPCB",41.17,64.91,2.51,163.37,61.53,26.88,0.0,7.92,1.18,0.3,3.23,0.86,9.5
2019-03-03,"MIDC Khutala, Chandrapur - MPCB",26.43,40.65,3.39,162.8,63.69,29.44,0.0,8.09,1.62,0.29,2.88,1.62,9.21
2019-03-04,"MIDC Khutala, Chandrapur - MPCB",31.36,56.6,1.27,191.29,55.77,29.07,0.0,7.89,1.22,0.31,4.32,0.93,9.46
2019-03-05,"MIDC Khutala, Chandrapur - MPCB",40.43,81.16,2.27,288.93,42.31,27.92,0.0,7.93,1.31,0.3,2.56,1.15,9.89
2019-03-06,"MIDC Khutala, Chandrapur - MPCB",34.5,64.61,1.22,215.15,41.37,26.43,0.0,9.18,3.21,0.3,2.81,4.1,8.85
2019-03-07,"MIDC Khutala, Chandrapur - MPCB",43.09,70.74,0.9,142.78,45.33,26.38,0.0,9.68,3.76,0.31,4.62,5.57,8.12
2019-03-08,"MIDC Khutala, Chandrapur - MPCB",43.33,73.26,0.8,157.76,43.42,27.02,0.0,9.48,3.23,0.32,4.89,4.61,8.59
2019-03-09,"MIDC Khutala, Chandrapur - MPCB",53.2,116.5,1.01,205.71,44.26,28.37,0.0,8.35,2.21,0.33,3.23,2.66,9.85
2019-03-10,"MIDC Khutala, Chandrapur - MPCB",59.05,98.34,0.85,183.29,45.03,29.21,0.0,10.67,5.07,0.33,3.71,8.15,9.23
2019-03-11,"MIDC Khutala, Chandrapur - MPCB",42.35,72.19,0.95,171.16,54.14,30.3,0.0,11.24,5.23,0.32,3.71,8.09,8.68
2019-03-12,"MIDC Khutala, Chandrapur - MPCB",45.31,82.74,0.76,171.24,51.01,30.43,0.0,10.48,4.73,0.32,6.55,7.65,8.0
2019-03-13,"MIDC Khutala, Chandrapur - MPCB",39.89,71.77,2.27,147.01,47.74,30.92,0.0,12.97,6.37,0.3,4.57,11.12,8.56
2019-03-14,"MIDC Khutala, Chandrapur - MPCB",38.61,71.12,1.55,159.6,45.08,30.09,0.0,12.25,8.1,0.31,5.3,12.92,10.96
2019-03-15,"MIDC Khutala, Chandrapur - MPCB",51.38,88.28,1.12,205.46,39.5,30.61,0.0,8.92,9.61,0.33,4.72,8.8,11.35
2019-03-16,"MIDC Khutala, Chandrapur - MPCB",44.38,73.73,1.48,145.44,39.0,30.23,0.0,11.01,11.31,0.31,3.22,15.38,17.18
2019-03-17,"MIDC Khutala, Chandrapur - MPCB",32.76,59.74,2.58,141.3,42.92,30.99,0.0,8.47,9.46,0.29,1.66,15.67,16.26
2019-03-18,"MIDC Khutala, Chandrapur - MPCB",34.99,65.3,2.09,129.89,43.1,29.94,0.0,8.17,8.58,0.3,3.92,4.33,9.23
2019-03-19,"MIDC Khutala, Chandrapur - MPCB",28.66,52.13,1.41,114.13,49.27,29.8,0.0,8.52,8.6,0.31,11.39,2.93,8.41
2019-03-20,"MIDC Khutala, Chandrapur - MPCB",39.66,64.28,2.44,116.85,56.31,29.89,0.0,9.59,8.49,0.31,6.13,1.52,8.57
