date,station,PM2.5,PM10,wind_speed,wind_dir,humidity,temperature,rainfall,NO2,NH3,CO,SO2,Ozone
2019-01-01,"Vindhyachal STPS, Singrauli - MPPCB",267.76,396.22,8.2,341,61,14.1,0.0,3.83,1.65,0.46,23.09,37.24
2019-01-02,"Vindhyachal STPS, Singrauli - MPPCB",221.81,408.47,11.2,22,54,15.9,0.0,3.45,1.79,0.4,17.42,37.72
2019-01-03,"Vindhyachal STPS, Singrauli - MPPCB",174.92,359.56,11.8,315,56,15.3,0.0,2.63,1.67,0.36,11.43,38.84
2019-01-04,"Vindhyachal STPS, Singrauli - MPPCB",206.55,388.23,9.8,345,60,15.5,0.0,2.45,1.52,0.37,12.66,42.67
2019-01-05,"Vindhyachal STPS, Singrauli - MPPCB",192.02,328.21,9.4,94,62,16.1,0.0,3.19,1.94,0.38,21.9,28.35
2019-01-06,"Vindhyachal STPS, Singrauli - MPPCB",138.36,252.48,12.3,120,59,18.2,0.0,2.29,2.09,0.31,17.66,67.33
2019-01-07,"Vindhyachal STPS, Singrauli - MPPCB",177.37,299.23,16.2,303,63,17.3,0.3,1.92,1.7,0.27,12.82,68.73
2019-01-08,"Vindhyachal STPS, Singrauli - MPPCB",144.34,228.92,10.5,318,69,15.3,0.0,2.06,1.68,0.26,11.38,56.28
2019-01-09,"Vindhyachal STPS, Singrauli - MPPCB",129.86,254.69,14.7,303,56,15.4,0.0,2.04,1.81,0.29,10.47,50.84
2019-01-10,"Vindhyachal STPS, Singrauli - MPPCB",144.18,288.62,9.0,324,57,14.5,0.0,2.37,1.73,0.8,35.44,42.22
2019-01-11,"Vindhyachal STPS, Singrauli - MPPCB",158.41,321.32,13.1,43,58,15.2,0.0,33.98,10.47,1.51,68.79,36.88
2019-01-12,"Vindhyachal STPS, Singrauli - MPPCB",206.76,389.96,10.8,69,60,16.3,0.0,76.16,22.37,1.75,66.51,27.11
2019-01-13,"Vindhyachal STPS, Singrauli - MPPCB",178.81,344.71,13.9,352,68,17.6,0.4,55.29,20.5,1.56,59.62,49.93
2019-01-14,"Vindhyachal STPS, Singrauli - MPPCB",143.99,258.03,14.5,318,56,16.9,0.0,39.31,17.42,0.95,30.77,76.14
2019-01-15,"Vindhyachal STPS, Singrauli - MPPCB",96.17,244.96,14.9,297,44,14.4,0.0,46.32,15.12,1.01,35.57,47.66
2019-01-16,"Vindhyachal STPS, Singrauli - MPPCB",163.24,350.09,8.3,4,46,13.8,0.0,81.62,18.03,1.61,69.89,16.54
2019-01-17,"Vindhyachal STPS, Singrauli - MPPCB",157.94,373.75,9.8,353,48,15.6,0.0,73.98,18.09,1.52,72.25,21.24
2019-01-18,"Vindhyachal STPS, Singrauli - MPPCB",158.27,338.22,13.3,319,53,15.4,0.0,59.71,18.43,1.33,38.77,38.63
2019-01-19,"Vindhyachal STPS, Singrauli - MPPCB",191.15,460.55,9.4,312,54,15.7,0.0,68.76,19.55,1.76,52.25,37.74
2019-01-20,"Vindhyachal STPS, Singrauli - MPPCB",167.62,412.38,12.6,325,46,17.5,0.0,60.82,18.66,1.68,44.63,38.79
2019-01-21,"Vindhyachal STPS, Singrauli - MPPCB",143.89,410.4,12.7,125,44,19.3,0.0,62.92,17.78,1.48,57.89,34.19
2019-01-22,"Vindhyachal STPS, Singrauli - MPPCB",146.85,323.8,18.7,162,46,20.5,0.0,60.11,17.3,1.42,57.89,48.98
2019-01-23,"Vindhyachal STPS, Singrauli - MPPCB",154.42,371.3,12.5,4,64,18.8,2.3,59.5,20.19,1.44,44.88,43.36
2019-01-24,"Vindhyachal STPS, Singrauli - MPPCB",154.79,213.69,10.6,88,77,17.8,0.9,42.43,21.59,1.27,36.53,30.33
2019-01-25,"Vindhyachal STPS, Singrauli - MPPCB",47.75,84.95,15.2,129,84,16.8,3.9,36.3,18.54,0.77,22.9,30.92
