date,station,PM2.5,PM10,wind_speed,wind_dir,humidity,temperature,rainfall,NO2,NH3,CO,SO2,NO,NOx,Ozone
2019-01-01,"Talcher Coalfields,Talcher - OSPCB",111.9,311.85,2.45,139.73,68.16,16.4,0.0,6.47,5.96,3.76,25.3,9.24,13.03,9.51
2019-01-02,"Talcher Coalfields,Talcher - OSPCB",163.99,384.29,2.62,152.56,72.76,16.9,0.0,6.14,6.0,4.74,36.28,8.12,13.39,10.82
2019-01-03,"Talcher Coalfields,Talcher - OSPCB",143.92,398.22,2.59,146.53,72.19,17.7,0.0,5.87,6.04,4.21,33.16,9.08,13.81,10.51
2019-01-04,"Talcher Coalfields,Talcher - OSPCB",148.77,380.14,3.04,149.12,77.92,17.9,0.0,5.05,6.15,4.06,31.74,9.85,14.87,8.37
2019-01-05,"Talcher Coalfields,Talcher - OSPCB",142.63,369.01,3.19,151.4,71.48,18.5,0.0,5.13,6.22,4.1,32.6,10.76,15.38,7.87
2019-01-06,"Talcher Coalfields,Talcher - OSPCB",149.79,383.87,2.89,146.23,73.17,18.6,0.0,5.43,6.26,4.15,33.72,11.54,15.8,6.71
2019-01-07,"Talcher Coalfields,Talcher - OSPCB",137.49,408.18,2.73,128.8,72.0,18.6,0.0,5.97,6.36,4.26,34.65,13.41,16.83,6.63
2019-01-08,"Talcher Coalfields,Talcher - OSPCB",94.79,241.49,2.72,135.36,70.99,18.7,0.0,6.2,6.42,3.31,22.19,14.5,17.43,7.06
2019-01-09,"Talcher Coalfields,Talcher - OSPCB",106.38,278.1,2.46,156.0,70.51,18.2,0.0,5.81,6.4,3.56,22.38,14.27,17.31,6.15
2019-01-10,"Talcher Coalfields,Talcher - OSPCB",118.39,357.89,2.79,159.52,69.86,18.1,0.0,5.74,6.22,3.43,28.38,12.4,15.5,5.95
2019-01-11,"Talcher Coalfields,Talcher - OSPCB",118.33,280.4,2.86,142.98,72.37,18.9,0.0,5.76,6.06,2.68,27.052,8.87,13.95,6.12
