date,station,PM2.5,PM10,wind_speed,wind_dir,humidity,temperature,rainfall,NO2,NH3,CO,SO2,month,day_of_week,season,PM2.5_lag1,PM2.5_lag2,PM2.5_lag3,PM10_lag1,PM10_lag3,wind_speed_lag1,humidity_lag1,PM2.5_roll7,PM10_roll7,wind_roll3,humidity_roll3,station_code
2019-01-04,"MIDC Khutala, Chandrapur - MPCB",49.03,102.07,0.76,143.98,61.8,21.95,0.0,48.3,9.53,0.13,7.33,1,4,0,45.98,41.6,46.78,115.85,116.51,0.61,65.21,44.78666666666667,110.98333333333333,0.5566666666666666,62.56666666666666,0
2019-01-05,"MIDC Khutala, Chandrapur - MPCB",46.59,99.33,0.8,127.78,65.44,21.82,0.0,54.48,10.78,0.11,7.03,1,5,0,49.03,45.98,41.6,102.07,100.59,0.76,61.8,45.8475,108.755,0.6533333333333333,62.86333333333332,0
2019-01-06,"MIDC Khutala, Chandrapur - MPCB",43.7,85.84,0.87,133.85,72.01,22.28,0.0,53.0,11.75,0.09,5.36,1,6,0,46.59,49.03,45.98,99.33,115.85,0.8,65.44,45.996,106.87,0.7233333333333333,64.14999999999999,0
2019-01-07,"MIDC Khutala, Chandrapur - MPCB",51.55,117.27,1.23,184.6,75.44,22.02,0.0,52.04,11.87,0.09,5.56,1,0,0,43.7,46.59,49.03,85.84,102.07,0.87,72.01,45.61333333333334,103.36500000000001,0.81,66.41666666666667,0
2019-01-08,"MIDC Khutala, Chandrapur - MPCB",44.51,99.35,0.67,206.33,62.2,19.49,0.0,45.39,10.53,0.09,4.92,1,1,0,51.55,43.7,46.59,117.27,99.33,1.23,75.44,46.46142857142858,105.35142857142857,0.9666666666666668,70.96333333333332,0
2019-01-09,"MIDC Khutala, Chandrapur - MPCB",43.9,86.07,0.59,153.34,61.86,19.79,0.0,40.55,10.81,0.09,5.96,1,2,0,44.51,51.55,43.7,99.35,85.84,0.67,62.2,46.13714285714286,102.89999999999999,0.9233333333333335,69.88333333333333,0
2019-01-10,"MIDC Khutala, Chandrapur - MPCB",38.54,94.05,1.05,135.17,60.72,20.53,0.0,37.43,10.27,0.11,8.08,1,3,0,43.9,44.51,51.55,86.07,117.27,0.59,61.86,46.465714285714284,100.82571428571428,0.8300000000000001,66.5,0
2019-01-11,"MIDC Khutala, Chandrapur - MPCB",38.97,89.66,1.0,130.21,68.11,21.34,0.0,30.19,8.32,0.11,6.18,1,4,0,38.54,43.9,44.51,94.05,99.35,1.05,60.72,45.402857142857144,97.71142857142856,0.7700000000000001,61.593333333333334,0
2019-01-12,"MIDC Khutala, Chandrapur - MPCB",37.85,88.3,1.07,112.6,76.51,22.81,0.0,33.18,10.09,0.15,3.85,1,5,0,38.97,38.54,43.9,89.66,86.07,1.0,68.11,43.965714285714284,95.93857142857142,0.8800000000000002,63.56333333333333,0
2019-01-13,"MIDC Khutala, Chandrapur - MPCB",34.57,85.4,0.97,129.75,76.28,23.64,0.0,36.71,11.51,0.32,4.77,1,6,0,37.85,38.97,38.54,88.3,94.05,1.07,76.51,42.71714285714285,94.36285714285714,1.0400000000000003,68.44666666666666,0
2019-01-14,"MIDC Khutala, Chandrapur - MPCB",44.52,105.04,1.06,108.03,76.37,23.41,0.0,35.06,11.61,0.35,6.12,1,0,0,34.57,37.85,38.97,85.4,89.66,0.97,76.28,41.41285714285714,94.3,1.0133333333333334,73.63333333333334,0
